Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct answer #
General knowledge
What is the capital of France?,Berlin,Madrid,Paris,Rome,3
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,4
"Who wrote ""Romeo and Juliet""?",Charles Dickens,William Shakespeare,Mark Twain,Leo Tolstoy,2
What is the chemical symbol for water?,O2,H2O,CO2,NaCl,2
Which country has the Great Barrier Reef?,Australia,South Africa,Brazil,India,1
What year did World War II end?,1942,1945,1948,1950,2
What is the smallest prime number?,0,1,2,3,3
Who painted the Mona Lisa?,Vincent Van Gogh,Claude Monet,Leonardo da Vinci,Pablo Picasso,3
What is the tallest mountain in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,2
What is the currency of Japan?,Yen,Won,Dollar,Rupee,1
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Helium,2
How many continents are there?,5,6,7,8,3
What is the boiling point of water in Celsius?,90°C,100°C,110°C,120°C,2
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Gregor Mendel,2
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,2
What is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,2
Which country hosted the 2016 Summer Olympics?,China,Brazil,UK,Russia,2
What language has the most native speakers?,English,Spanish,Mandarin,Hindi,3
What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Platinum,2
What is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,1
Which instrument has 88 keys?,Violin,Flute,Piano,Guitar,3
"Who is known as the ""Father of Computers""?",Charles Babbage,Alan Turing,John von Neumann,Steve Jobs,1
What does DNA stand for?,Deoxyribonucleic Acid,Ribonucleic Acid,Dinucleic Acid,Dioxin Acid,1
How many planets are in the Solar System?,7,8,9,10,2
Who invented the light bulb?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,James Watt,2
What is the main ingredient in sushi?,Beef,Chicken,Fish,Pork,3
What is the largest desert in the world?,Sahara,Arctic,Antarctic,Gobi,3
"Which city is known as the ""Big Apple""?",Los Angeles,Chicago,New York,Miami,3
How many sides does a hexagon have?,5,6,7,8,2
What is the chemical symbol for gold?,Au,Ag,Fe,Hg,1
"Who wrote ""1984""?",George Orwell,Aldous Huxley,Ray Bradbury,Kurt Vonnegut,1
What year did the Titanic sink?,1905,1912,1918,1920,2
What is the largest organ in the human body?,Heart,Liver,Skin,Lungs,3
Which planet has rings?,Venus,Mars,Saturn,Jupiter,3
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,3
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Niels Bohr,Galileo Galilei,2
What is the main gas found in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,2
